"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"East Asia & Pacific (excluding high income)","EAP","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.9133889100115","17.6475104279565","17.3204395696679","17.0806619253724","16.7109382438473","16.3139961834611","15.810815256163","15.0780862832667","14.3144742637249","13.3761017309589","12.4264772994452","11.5895964241199","10.8726415323674","10.2348290634372","9.69944265568787","9.4951818306668","9.44728073140322","","",
"Early-demographic dividend","EAR","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.4292061096552","18.7387638651108","19.3323416471075","19.6332025794112","19.5909763571944","18.9452890061517","17.9273909596434","16.9249922801287","16.1216982457596","15.5513212724493","15.0966563796223","14.7316625915017","14.410546832125","14.0437195463048","13.6242967466246","13.2681275740813","13.0027930084482","","",
"East Asia & Pacific","EAS","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.2147239979191","15.9875433525434","15.7056743637441","15.5000953210571","15.1787265264655","14.8334378632648","14.3923000202397","13.7453677562145","13.0687433339476","12.2344276462899","11.3894076296383","10.6439996178018","10.0038585872079","9.434191763752","8.95646499626578","8.77350357998131","8.73164363190221","","",
"Europe & Central Asia (excluding high income)","ECA","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.95605397989994","5.6524022517294","5.22713774718421","4.752679229914","4.28560575264924","3.95966519327822","3.75611047686068","3.59517191359949","3.49416879319575","3.4229601864685","3.36286552533324","3.28625174504163","3.21303921352076","3.17044672127148","3.15378283048305","3.18190090171861","3.23702443096106","","",
"Europe & Central Asia","ECS","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.10766943650778","3.95715769153371","3.75486651050788","3.53316606382108","3.31912627673946","3.17053369816247","3.08319831943178","3.00843802134936","2.95899981285211","2.92329125626424","2.89401156068585","2.86053968889339","2.82730225319757","2.80769867725196","2.79831342073103","2.80875719473902","2.83242526311098","","",
"Ecuador","ECU","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.5","18.8","18.9","18.6","17.7","17","16.2","15.6","14.4","12.8","10.7","9.1","8.3","8.2","8.2","8","7.8","","",
"Egypt, Arab Rep.","EGY","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.2","5.1","5.2","5.3","5.5","5.4","5.1","4.8","4.6","4.5","4.5","4.5","4.4","4.4","4.4","4.6","4.8","","",
"Euro area","EMU","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5940669667705","2.59827545600254","2.59600762064463","2.5874360247071","2.58080599908744","2.5773301036898","2.57312956044257","2.56606993551221","2.55498573456309","2.54356066385678","2.53522346394317","2.53224354484212","2.53017252534226","2.52726521846603","2.52116993081038","2.51477808105601","2.51156222437145","","",
"Eritrea","ERI","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Estonia","EST","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.6","5.5","5.5","5.2","4.8","4.2","3.7","3.2","2.8","2.6","2.6","2.7","2.9","2.9","2.9","2.9","2.8","","",
"Ethiopia","ETH","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52","49","46.7","44.2","42","39.7","38.5","37.2","35.6","33.7","32.1","30.7","29","26.9","24.7","22.8","21.4","","",
"European Union","EUU","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.67269984098886","2.65564201210956","2.64198986549425","2.62982932837475","2.62166792781952","2.61659865303288","2.60662783731532","2.59832324885859","2.58592225592259","2.57637363572269","2.56894083028879","2.56458918851453","2.5562417416727","2.54540157690452","2.53257895860905","2.52110981932605","2.51467513377239","","",
"Fragile and conflict affected situations","FCS","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.4103980789781","24.8299278502028","25.3426935795762","25.7873164555486","25.9528450269383","","",
"Finland","FIN","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Fiji","FJI","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.8","4.7","4.6","4.5","4.4","4.3","4.2","4.3","4.3","4.5","4.5","4.5","4.4","4.4","4.4","4.4","4.4","","",
"France","FRA","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Faroe Islands","FRO","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.5","10.8","11.3","11.4","11.2","10.9","11","11.2","11.5","11.3","10.8","10","9.4","9","8.8","9.1","9.4","","",
"United Kingdom","GBR","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Georgia","GEO","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.5","13.6","11.4","9.2","7.9","7.2","7","6.8","6.7","7","7.7","8.1","8","7.6","7.5","7.4","7.4","","",
"Ghana","GHA","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.6","13.6","12","11","10.1","9.3","8.3","7.3","6.3","5.6","5.3","5.5","5.9","6.3","6.4","6.3","6.1","","",
"Gibraltar","GIB","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.3","25.5","24.7","23.8","22.5","21.3","20.2","19.3","18.5","18","17.6","17.3","16.9","16.8","17","18.5","19.7","","",
